section,n,pct_currency,pct_percent,pct_eps,pct_units,pct_yoy,pct_growth
0,15000,4.19,2.03,0.0,0.1,0.01,2.19
1,15000,1.39,1.61,0.05,0.0,0.0,6.19
2,374,0.0,0.0,0.0,0.0,0.0,0.0
3,2317,2.93,1.29,0.0,0.0,0.0,0.22
4,4534,3.79,0.18,0.0,0.15,0.0,0.55
5,3893,0.03,0.0,0.0,0.0,0.0,0.0
6,2836,13.89,1.62,0.0,0.25,0.0,0.85
7,1355,30.41,5.02,0.3,5.09,0.0,3.32
8,15000,24.62,8.6,0.27,0.56,0.11,15.49
9,3993,14.35,4.96,0.15,0.75,0.05,4.63
10,15000,16.48,4.31,0.69,3.22,0.01,1.42
11,608,0.0,0.0,0.0,0.0,0.0,0.0
12,2906,0.79,0.41,0.0,0.0,0.0,0.14
13,479,0.42,0.0,0.0,0.0,0.0,0.0
14,3166,1.77,0.92,0.0,0.0,0.0,0.41
15,1125,9.69,3.2,0.09,0.0,0.0,0.44
16,1889,2.44,6.62,0.0,0.37,0.0,0.21
17,661,2.42,1.82,0.0,0.0,0.0,0.15
18,1681,0.77,0.59,0.18,0.48,0.0,0.0
19,14312,10.5,3.89,0.64,0.65,0.0,1.21
